types,counts,total_unique,probs
James,87063,4256,0.04478828157513919
Robert,86604,4256,0.044552155766897014
John,83138,4256,0.04276912297524692
Michael,79049,4256,0.04066559698417443
David,71750,4256,0.036910733641342904
William,63047,4256,0.03243360312035883
Richard,58350,4256,0.030017300459545065
Thomas,48652,4256,0.025028306803046897
Charles,38869,4256,0.0199955861450224
Gary,38756,4256,0.019937454954757985
Steven,32032,4256,0.01647839191636928
Joseph,28518,4256,0.014670666229739608
Donald,28283,4256,0.014549773931402108
Larry,28239,4256,0.014527138777670832
Ronald,27798,4256,0.014300272805045993
Kenneth,25904,4256,0.013325932323976955
Mark,25680,4256,0.013210698814072275
Dennis,24557,4256,0.012632987958612651
Paul,24301,4256,0.012501292518721587
Daniel,23424,4256,0.012050132750032281
Stephen,23049,4256,0.011857219508004356
George,19821,4256,0.010196622320627981
Edward,19510,4256,0.010036632938572822
Gregory,15197,4256,0.007817873437595654
Bruce,14485,4256,0.007451595495398634
Jerry,14443,4256,0.007429989212291506
Timothy,14169,4256,0.007289033936783102
Douglas,13684,4256,0.007039532810426986
Terry,12442,4256,0.0064006041528305
Roger,12127,4256,0.006238557029527044
Jeffrey,12013,4256,0.006179911403950554
Frank,11277,4256,0.005801287014263748
Raymond,11238,4256,0.005781224037092844
Anthony,11188,4256,0.00575550227148912
Lawrence,10306,4256,0.005301770326239442
Peter,9583,4256,0.004929833595609603
Patrick,9176,4256,0.004720458423595295
Wayne,9092,4256,0.00467724585738104
Gerald,9029,4256,0.004644836432720349
Danny,8823,4256,0.004538862758433009
Randy,8651,4256,0.004450379884756201
Alan,8306,4256,0.004272899702090511
Kevin,7919,4256,0.004073813236317693
Walter,7901,4256,0.0040645534007003525
Carl,7823,4256,0.004024427446358544
Dale,7415,4256,0.003814537839032162
Arthur,7234,4256,0.0037214250475466836
Willie,7196,4256,0.003701876505687854
Keith,7172,4256,0.003689530058198067
Henry,6978,4256,0.0035897296076556205
Harold,6958,4256,0.0035794409014141314
