types,counts,total_unique,probs
Emily,24464,18082,0.013621585625173653
Madison,21773,18082,0.012123233478454298
Hannah,18822,18082,0.010480113008380415
Emma,16540,18082,0.009209492570322605
Alexis,15636,18082,0.008706144246043789
Ashley,15344,18082,0.008543558282891781
Abigail,15298,18082,0.008517945425682903
Sarah,14760,18082,0.008218386356587766
Samantha,14666,18082,0.008166047039682668
Olivia,14629,18082,0.008145445393666831
Elizabeth,14604,18082,0.00813152536257505
Alyssa,12844,18082,0.007151555173713636
Lauren,12325,18082,0.006862575328248253
Isabella,12167,18082,0.006774600731748195
Grace,12056,18082,0.006712795793700685
Jessica,11918,18082,0.0066359572220740515
Brianna,11519,18082,0.006413793525849219
Taylor,11467,18082,0.006384839861178314
Kayla,11310,18082,0.006297422065921926
Anna,10388,18082,0.005784051319257026
Victoria,9784,18082,0.005447743368079587
Megan,9210,18082,0.005128139454212285
Sydney,9034,18082,0.005030142435326144
Rachel,8927,18082,0.004970564702253319
Chloe,8900,18082,0.004955531068674195
Jasmine,8867,18082,0.0049371566276330435
Sophia,8664,18082,0.004824125975167778
Jennifer,8537,18082,0.004753412217221528
Morgan,8432,18082,0.004694948086636046
Natalie,8350,18082,0.0046492903846550035
Hailey,7991,18082,0.0044493987381770215
Kaitlyn,7980,18082,0.004443273924496637
Julia,7963,18082,0.004433808303354226
Destiny,7801,18082,0.004343606501879482
Haley,7456,18082,0.004151510072812899
Katherine,7212,18082,0.004015650569357112
Nicole,6974,18082,0.0038831318733633523
Alexandra,6936,18082,0.0038619734261038444
Savannah,6581,18082,0.003664308984600548
Maria,6382,18082,0.003553505537109968
Mackenzie,6268,18082,0.0034900301953314445
Stephanie,6267,18082,0.003489473394087773
Mia,6259,18082,0.003485018984138403
Allison,6240,18082,0.0034744397605086493
Jordan,6151,18082,0.003424884449821907
Amanda,6134,18082,0.0034154188286794956
Jenna,5664,18082,0.0031537222441540046
Faith,5524,18082,0.0030757700700400283
Makayla,5476,18082,0.003049043610343808
Paige,5467,18082,0.0030440323991507666
Mary,5463,18082,0.0030418051941760818
Brooke,5339,18082,0.0029727618399608456
Katelyn,5266,18082,0.0029321153491728437
Rebecca,5212,18082,0.002902048082014596
Andrea,5117,18082,0.0028491519638658264
Madeline,5113,18082,0.0028469247588911416
Kaylee,4981,18082,0.0027734269947265354
Michelle,4949,18082,0.0027556093549290553
Sara,4939,18082,0.0027500413424923426
Zoe,4886,18082,0.0027205308765777658
Kylie,4832,18082,0.002690463609419518
Sierra,4807,18082,0.0026765435783277364
Kimberly,4789,18082,0.002666521155941654
Aaliyah,4778,18082,0.00266039634226127
Amber,4723,18082,0.002629772273859351
Gabrielle,4668,18082,0.002599148205457432
Caroline,4656,18082,0.0025924665905333764
Vanessa,4453,18082,0.0024794359380681114
Alexa,4401,18082,0.002450482273397206
Trinity,4385,18082,0.0024415734534984656
Danielle,4204,18082,0.0023407924283939683
Erin,4144,18082,0.0023073843537736926
Autumn,4103,18082,0.002284555502783171
Angelina,3979,18082,0.002215512148567935
Shelby,3961,18082,0.002205489726181852
Gabriella,3910,18082,0.0021770928627546184
Riley,3906,18082,0.002174865657779933
Jada,3899,18082,0.0021709680490742344
Lily,3834,18082,0.0021347759682356026
Melissa,3767,18082,0.002097470284909628
Jacqueline,3752,18082,0.0020891182662545597
Ava,3751,18082,0.0020885614650108884
Angela,3713,18082,0.0020674030177513804
Bailey,3661,18082,0.002038449353080475
Isabel,3650,18082,0.0020323245394000913
Jade,3630,18082,0.002021188514526666
Leah,3602,18082,0.002005598079703871
Courtney,3580,18082,0.0019933484523431033
Ella,3561,18082,0.001982769228713349
Maya,3544,18082,0.001973303607570938
Leslie,3522,18082,0.0019610539802101703
Jocelyn,3521,18082,0.001960497178966499
Ariana,3491,18082,0.0019437931416563612
Melanie,3484,18082,0.0019398955329506624
Claire,3405,18082,0.001895908234700633
Lillian,3396,18082,0.0018908970235075918
Christina,3387,18082,0.0018858858123145504
Evelyn,3372,18082,0.0018775337936594815
Marissa,3318,18082,0.0018474665265012335
Audrey,3306,18082,0.0018407849115771786
Catherine,3292,18082,0.001832989694165781
Briana,3262,18082,0.0018162856568556432
Katie,3225,18082,0.0017956840108398066
Breanna,3198,18082,0.0017806503772606827
Alexandria,3146,18082,0.0017516967125897772
Laura,3144,18082,0.0017505831101024348
Molly,3119,18082,0.0017366630790106533
Kathryn,3106,18082,0.0017294246628429268
Angel,3100,18082,0.0017260838553808994
Amy,3095,18082,0.001723299849162543
Isabelle,3063,18082,0.0017054822093650627
Sofia,3059,18082,0.001703255004390378
Daniela,3026,18082,0.0016848805633492264
Arianna,2964,18082,0.0016503588862416083
Ashanti,2945,18082,0.0016397796626118543
Gabriela,2915,18082,0.0016230756253017167
Diana,2905,18082,0.001617507612865004
Kelsey,2883,18082,0.0016052579855042365
Kelly,2852,18082,0.0015879971469504274
Madelyn,2851,18082,0.0015874403457067563
Alicia,2818,18082,0.0015690659046656047
Lindsey,2815,18082,0.001567395500934591
Caitlin,2741,18082,0.0015261922089029178
Mikayla,2738,18082,0.001524521805171904
Jillian,2734,18082,0.001522294600197219
Cassandra,2731,18082,0.0015206241964662052
Cheyenne,2711,18082,0.0015094881715927802
Alexia,2691,18082,0.0014983521467193549
Margaret,2675,18082,0.0014894433268206149
Mariah,2670,18082,0.0014866593206022585
Cassidy,2634,18082,0.0014666144758300932
Avery,2588,18082,0.0014410016186212154
Lizbeth,2569,18082,0.0014304223949914614
Ana,2535,18082,0.0014114911527066387
Sabrina,2530,18082,0.0014087071464882824
Kennedy,2512,18082,0.0013986847241021997
Lydia,2502,18082,0.0013931167116654872
Daisy,2456,18082,0.0013675038544566094
Amelia,2441,18082,0.0013591518358015405
Tiffany,2398,18082,0.0013352093823236764
Skylar,2391,18082,0.0013313117736179776
Adriana,2383,18082,0.0013268573636686075
Mckenzie,2340,18082,0.0013029149101907434
Erica,2304,18082,0.001282870065418578
Mya,2281,18082,0.0012700636368141393
Angelica,2273,18082,0.0012656092268647692
Miranda,2271,18082,0.0012644956243774265
Caitlyn,2266,18082,0.0012617116181590704
Sophie,2245,18082,0.001250018792041974
Karen,2222,18082,0.001237212363437535
Summer,2213,18082,0.0012322011522444937
Brooklyn,2210,18082,0.0012305307485134798
Gracie,2155,18082,0.0011999066801115608
Crystal,2143,18082,0.0011932250651875056
Valerie,2105,18082,0.0011720666179279979
Kiara,2103,18082,0.0011709530154406552
Jordyn,2098,18082,0.001168169009222299
Ashlyn,2077,18082,0.0011564761831052027
Heather,2066,18082,0.0011503513694248188
Hope,2053,18082,0.0011431129532570924
Kylee,2009,18082,0.001118613698535557
Alondra,1996,18082,0.0011113752823678307
Gianna,1984,18082,0.0011046936674437755
Jamie,1969,18082,0.0010963416487887068
Abby,1961,18082,0.0010918872388393367
Erika,1959,18082,0.001090773636351994
Karina,1959,18082,0.001090773636351994
Naomi,1957,18082,0.0010896600338646516
Bianca,1954,18082,0.001087989630133638
Brittany,1936,18082,0.0010779672077475553
Juliana,1926,18082,0.0010723991953108427
Veronica,1908,18082,0.00106237677292476
Natalia,1882,18082,0.0010478999405893073
Meghan,1862,18082,0.001036763915715882
Karla,1840,18082,0.0010245142883551145
Cynthia,1832,18082,0.0010200598784057444
Mckenna,1795,18082,0.0009994582323899078
Bethany,1792,18082,0.000997787828658894
Chelsea,1785,18082,0.0009938902199531953
Monica,1778,18082,0.0009899926112474965
Delaney,1765,18082,0.0009827541950797702
Jasmin,1758,18082,0.0009788565863740714
